, Title,Artist(s),Genre,Album,Date Released,Length of Track,Language,Country of Origin (artist(s)),Rating,Review,Race of Artist(s) ,Gender of Artist(s)
82,I Can See You (Taylor's Version) (From The Vault),Taylor Swift,Indie Rock & Funk,Speak Now (Taylor's Version),"July 7, 2023",4:33,English,United States,6.3/10,Was bobbing my head a lil bit icl,White,Female
83,Brazilera,Rauw Alejandro & Anitta,Latin Pop & Baile Funk,VICE VERSA,"June 25, 2021",3:04,Spanish,Puerto Rico & Brazil,8.5/10,This is so bouncy I love it. And Rauw's autotuney voice isnt as annoying on this type of beat. ,Mixed,Male & Female
84,BELLAKEO ,Peso Pluma & Anitta,Reggaeton,ÉXODO,"December 7, 2023",3:17,Spanish,Mexico & Brazil,9.6/10,"This is such a good club song, ngl I feel like Young Miko would go crazy on a remix to this song. ",White & Mixed,Male & Female
85,Call It What You Want,Taylor Swift,Synth-Pop & Electropop,reputation,"November 3, 2017",3:24,English,United States,6.0/10,This was decent /shrug,White,Female
86,Tacata (Remix) ,Tiagz & Fuerza Regida & El Alfa,Latin Trap & Dembow & Regional Mexicano,Tacata (Remix),"December 24, 2023",2:37,Spanish,Venezuela & Mexico & Dominican Republic,8.2/10,Fun kind of turn ur brain off vibey music to dance to. ,White & Mixed & Black,Male & Male & Male & Male & Male & Male
87,Por Esos Ojos,Fuerza Regida,Regional Mexicano & Corrido Tumbado,Por Esos Ojos,"February 11, 2025",3:08,Spanish,Mexico,8.5/10,Reminds me of if that one peso pluma song was made by ppl 10 years older than him. Great song tho ,White & Mixed,Male & Male & Male & Male
88,TÚ NAME,Fuerza Regida,Regional Mexicano,Dolido Pero No Arrepentido,"February 9, 2024",2:32,Spanish,Mexico,7.5/10,Wasn't bad it just felt extremely similar to the last song. ,White & Mixed,Male & Male & Male & Male
89,BARBIEZ,Fuerza Regida,Regional Mexicano & Corrido Tumbado,Pa las Baby's Y Belikeada,"October 20, 2023",2:46,Spanish,Mexico,6.3/10,"I can imagine my mother liking this song, it's not bad, I love the guitar and I'm a sucker for horns, but something about it isn't drawing me in, it's lacking that wow factor. ",White & Mixed,Male & Male & Male & Male
90,HARLEY QUINN,Fuerza Regida & Marshmello,Regional Mexicano & Electronic,Pa las Baby's Y Belikeada,"October 20, 2023",2:23,Spanish,Mexico & United States,7.0/10,Felt like a better version of the previous song 'HARLEY QUINN' in many ways. ,White & Mixed,Male & Male & Male & Male & Male
91,Que Onda,Calle 24 & Chino Pacas &Fuerza Regida,Regional Mexicano & Corrido Tumbado,Que Onda,"August 30, 2023",3:11,Spanish,Mexico,6.8/10,It's just very lively and Southern/Mexican in a good way,White & Mixed,Male & Male & Male & Male & Male & Male
92,Di Que Si,Grupo Marca Registrada & Grupo Frontera,Regional Mexicano & Norteño,Di Que Si ,"February 3, 2023",3:11,Spanish,Mexico,8.0/10,Type of music that makes me wanna put on boots and a cowboy hat and drink a Modelo or something. ,White & Mixed,Male & Male & Male & Male Male & Male & Male & Male & Male & Male
93,Bebe Dame,Fuerza Regida & Grupo Frontera,Regional Mexicano & Norteño,Bebe Dame,"December 16, 2022",4:32,Spanish,Mexico,7.0/10,I think it's funny they got the baby dad pattern on in the cover for this track. Solid though,White & Mixed,Male & Male & Male & Male Male & Male & Male & Male & Male & Male
94,Hecha Pa' Mí,Grupo Frontera,Regional Mexicano & Norteño,Hecha Pa' Mí,"October 3, 2024",3:16,Spanish,Mexico,9.35/10,Instantly sounding more upbeat and nice than the last few songs from these guys. Type of song to put a smile on your face. ,White & Mixed,Male & Male & Male & Male & Male & Male
95,ÁNGEL,Grupo Frontera & Romeo Santos,Bachata & Regional Mexicano,ÁNGEL,"July 25, 2024",3:04,Spanish,Mexico & Dominican Republic,8.4/10,I like the name of this song lol. In all seriousness it's a vibe (strong).,White & Mixed & Black,Male & Male & Male & Male & Male & Male & Male
96,OJITOS ROJOS,Grupo Frontera & Ke Personajes,Regional Mexicano & Cumbia,El Comienzo,"July 20, 2023",3:42,Spanish,Mexico & Argentina,7.9/10,"Chorus is top tier, think this group might be fake nice and I did not expect that",White & Mixed,Male & Male & Male & Male & Male & Male & Male
97,BYE ,Peso Pluma,Regional Mexicano & Corrido Tumbado,GÉNESIS,"May 26, 2023",3:33,Spanish,Mexico,6.0/10,Better than average but not absurdly crazy. ,White & Mixed,Male
98,LA PATRULLA,Peso Pluma & Neton Vega,Regional Mexicano & Corrido Tumbado,ÉXODO,"June 20, 2024",2:11,Spanish,Mexico,6.5/10,Noticeably better than the last song mostly due to the guitar but not absurd or out of this world. ,White & Mixed,Male & Male
99,LINDA,Tito Double P & Neton Vega,Regional Mexicano & Corrido Tumbado,INCÓMODO,"May 23, 2024",3:44,Spanish,Mexico,7.5/10,This is giving me halloween vibes for some reason but I thoroughly enjoyed it. Also one of these dudes I think Tito Double P sounds like Dr. Doofenshmirtz,White & Mixed,Male & Male
100,Baby Came Home 2 /Valentines,The Neighbourhood,Indie Rock & Alternative RnB ,Wiped Out!,"October 30, 2015",6:30,English,United States,6.0/10,"Second half saved this song, it was weirdly intriguing, first half was kinda boring",White,Male & Male & Male & Male & Male & Male
